roll,j,s,r,b
1,1,3,2,1
2,2,1,3,1
3,1,2,2,2
4,2,2,3,1
5,4,2,2,
6,2,2,4,
7,2,3,2,1
8,1,1,2,
9,3,4,,1
10,2,4,5,
11,2,5,,
12,,3,3,2
13,1,2,4,
14,,1,1,1
15,,4,2,
16,1,1,1,
17,3,1,,
18,3,1,4,
19,1,,,
20,3,4,5,1
