roll,j,s,r,b
1,,2,,
2,1,2,2,
3,,,3,2
4,,,,1
5,1,,,2
6,,1,,
7,1,,,1
8,,,1,1
9,1,,,
10,1,1,2,
11,1,,2,1
12,,1,1,1
13,,1,1,1
14,,,1,1
15,,2,,
16,,,2,
17,,,1,
18,,2,2,
19,,,1,1
20,1,2,1,3
