roll,j,s,r,b
1,3,2,1,2
2,2,3,,1
3,1,1,2,3
4,1,3,,6
5,1,1,,3
6,1,1,,
7,2,2,,1
8,3,2,1,1
9,1,1,3,3
10,1,,,2
11,2,1,,
12,1,2,2,2
13,1,1,,1
14,2,1,,4
15,6,1,,4
16,2,3,1,1
17,2,3,2,3
18,2,2,3,1
19,3,,,1
20,2,2,1,
