roll,j,s,r,b
1,4,4,1,2
2,3,5,2,1
3,1,2,5,5
4,1,5,1,7
5,2,3,1,5
6,1,2,1,0
7,4,4,0,2
8,3,2,2,3
9,2,2,3,3
10,2,1,2,2
11,3,1,3,2
12,1,4,3,3
13,2,2,1,2
14,2,1,1,6
15,6,4,0,4
16,2,3,3,1
17,3,4,3,3
18,2,4,5,1
19,3,1,2,2
20,3,5,2,3
