roll,j,s,r,b
1,,,,
2,1,,,
3,,,,
4,1,,,
5,,,1,
6,,,,
7,,,1,1
8,,1,,
9,,,,
10,,,,
11,,,,
12,,,1,
13,,,,1
14,,,,
15,1,,,1
16,,,2,1
17,,,2,
18,,1,1,1
19,1,,,
20,,,,1
